Date,Open,High,Low,Close
16/3/2023,1638.726563,1672.214355,1624.689819,1662.728516
17/3/2023,1663.234009,1782.532715,1651.505371,1770.72644
18/3/2023,1770.190552,1818.000977,1753.932983,1762.06665
19/3/2023,1762.030273,1819.771729,1762.030273,1783.204956
20/3/2023,1783.244141,1796.432251,1729.525269,1733.601318
21/3/2023,1733.469238,1809.280518,1719.404419,1791.486938
22/3/2023,1791.440552,1807.003418,1714.563721,1728.444336
23/3/2023,1728.473389,1822.177368,1721.495972,1800.817383
24/3/2023,1800.602295,1806.191528,1737.23877,1746.689209
25/3/2023,1747.641846,1764.715698,1719.057007,1739.100342
26/3/2023,1738.809082,1788.561401,1738.809082,1771.578735
27/3/2023,1771.312378,1785.874878,1689.358276,1713.898682
28/3/2023,1713.588257,1770.529663,1702.052612,1758.339478
29/3/2023,1757.911377,1811.753296,1756.923096,1786.822876
30/3/2023,1786.952393,1803.777344,1758.063232,1772.420776
31/3/2023,1776.580078,1820.62146,1769.603027,1807.976074
1/4/2023,1807.125122,1819.392456,1794.094604,1796.333496
2/4/2023,1804.824951,1815.025024,1772.543945,1789.775024
3/4/2023,1789.422852,1815.659668,1757.936157,1790.989258
4/4/2023,1790.786377,1861.879761,1781.688354,1852.092041
5/4/2023,1849.944702,1912.223511,1844.862671,1903.861084
6/4/2023,1904.933716,1907.506592,1856.723389,1866.384766
7/4/2023,1866.251953,1875.614746,1847.482422,1858.65979
8/4/2023,1857.266479,1869.463989,1844.740356,1845.05835
9/4/2023,1846.331055,1852.856445,1814.389771,1838.280518
10/4/2023,1837.799072,1891.218018,1831.420654,1886.67688
11/4/2023,1886.964844,1917.695435,1876.80127,1880.17334
12/4/2023,1879.607178,1910.167847,1850.519531,1902.673218
13/4/2023,1898.625244,2013.140747,1884.665283,1996.612915
14/4/2023,1996.638428,2119.583008,1996.152222,2087.344971
15/4/2023,2087.464111,2091.804443,2064.620361,2077.510498
16/4/2023,2078.248779,2121.02417,2070.818115,2113.277832
17/4/2023,2113.759521,2115.8479,2059.38916,2072.880859
18/4/2023,2072.806885,2104.595947,2059.049316,2092.862793
19/4/2023,2091.841309,2091.841309,1927.061401,1927.985962
20/4/2023,1927.655762,1965.97876,1917.374146,1935.306274
21/4/2023,1934.54248,1945.620239,1832.324341,1843.774414
22/4/2023,1844.15564,1878.918945,1842.256226,1868.3927
23/4/2023,1868.624512,1872.515991,1837.283081,1859.052856
24/4/2023,1859.490479,1881.923462,1821.69104,1834.958252
25/4/2023,1834.636841,1864.109985,1804.177856,1857.711182
26/4/2023,1857.667847,1952.135986,1808.88269,1857.307617
27/4/2023,1857.049927,1918.916748,1854.312866,1894.541382
28/4/2023,1895.509766,1907.576416,1874.123413,1887.245239
29/4/2023,1887.159058,1908.890381,1884.092529,1899.475952
30/4/2023,1899.460571,1927.074829,1876.067261,1876.067261
1/5/2023,1874.949097,1883.272461,1810.804321,1833.382324
2/5/2023,1828.683838,1870.710449,1818.942627,1861.828613
3/5/2023,1861.354492,1903.021606,1840.318359,1890.87085
4/5/2023,1890.678345,1903.337891,1866.573242,1873.929932
5/5/2023,1874.263428,1982.231445,1871.610229,1977.885864
6/5/2023,1978.640503,1996.008301,1878.243652,1900.458862
7/5/2023,1900.308838,1928.52771,1877.368408,1877.368408
8/5/2023,1876.665161,1880.82959,1816.993896,1839.699951
9/5/2023,1839.678223,1846.843262,1826.848022,1836.842896
10/5/2023,1837.313354,1871.177612,1802.818726,1837.393311
11/5/2023,1838.008301,1838.046387,1779.928833,1795.135132
12/5/2023,1795.101563,1806.240356,1748.325317,1804.823364
13/5/2023,1804.592163,1808.589844,1789.137817,1794.060181
14/5/2023,1793.829468,1822.234009,1789.616089,1796.768066
15/5/2023,1796.428955,1839.108521,1786.156128,1810.429199
16/5/2023,1810.816772,1818.194092,1790.591064,1808.739136
17/5/2023,1808.9646,1817.61792,1776.343506,1809.235596
18/5/2023,1809.292725,1816.69043,1773.871582,1791.087769
19/5/2023,1790.893311,1811.21936,1788.827515,1799.904297
20/5/2023,1800.2146,1812.047241,1796.951172,1803.927002
21/5/2023,1803.532227,1809.744507,1791.551147,1798.072876
22/5/2023,1798.115601,1811.476929,1789.508423,1805.307251
23/5/2023,1805.240723,1851.475342,1804.323608,1840.130859
24/5/2023,1839.997559,1840.924316,1782.663818,1796.371094
25/5/2023,1796.370605,1798.640259,1762.208618,1791.924194
